App name,Usage time,Access count
Instagram,329:42:37,6141
WhatsApp,145:21:53,6366
Phone,101:23:49,3402
Call of Duty,85:25:57,545
YouTube,82:48:59,1275
Opera Mini,43:02:54,501
Amazon Kindle,26:26:56,411
Opera,26:08:00,230
Chrome,22:36:47,1256
Hotstar,18:43:45,440
MX Player,17:40:02,210
Amazon Shopping,11:46:29,526
Goodreads,8:34:37,1024
Uber Eats,8:17:06,268
Swiggy,8:09:57,338
Duolingo,7:18:13,105
Gallery,5:19:33,555
Google Pay,4:37:25,252
Phone,4:34:42,2441
வரைபடம்,4:20:14,178
Google Play Store,4:17:37,382
Telegram,4:13:53,263
redBus,4:01:56,307
Flipkart,3:41:15,111
Drive,3:27:28,215
Camera,3:11:23,514
Messages,2:39:00,613
Clock,2:21:53,329
Samsung Music,2:18:49,315
Settings,2:17:23,664
Zedge Ringtones & Wallpapers,1:36:47,36
Udemy,1:23:22,41
Samsung Notes,1:18:06,138
IndPay,1:16:59,76
Flud,1:14:22,161
Medium,1:06:31,38
PUBG MOBILE LITE,1:06:03,6
Contacts,1:00:36,281
UFO VPN Basic,0:57:33,96
Gmail,0:56:58,119
LG TV Plus,0:50:39,58
Airtel,0:50:32,44
Video Player,0:50:06,27
App Usage,0:48:28,96
Meme Generator Free,0:44:18,31
Google,0:43:04,67
Digital wellbeing,0:39:35,104
Phone,0:35:12,213
Crossword,0:34:02,10
JioTV,0:33:37,21
Calculator,0:33:31,57
Snapseed,0:32:25,25
Meme Templates,0:32:17,27
Audible,0:31:41,63
Galaxy Store,0:30:09,47
WPS Office,0:30:02,51
Calendar,0:29:33,73
Package installer,0:28:55,710
Canva,0:28:53,20
Samsung Max,0:26:59,68
My Files,0:26:44,74
Om Tamil Calendar,0:25:06,24
Mi Fit,0:25:05,48
Device maintenance,0:25:03,129
IOBMobile,0:24:34,40
JioSaavn,0:24:34,27
BlaBlaCar,0:22:53,11
System UI,0:19:26,534
Evernote,0:19:08,25
BookMyShow,0:17:42,20
SHAREit,0:17:03,4
Software update,0:15:01,28
SoloLearn,0:14:05,6
English Templates,0:10:27,5
Service mode,0:10:14,2
Google Play services,0:09:54,173
WordPress,0:09:28,14
Galaxy Themes,0:09:21,17
Khan Academy,0:09:15,10
Files,0:08:22,41
Xender,0:08:14,8
Airtel Xstream,0:08:04,6
Pixaloop,0:07:40,3
Pushbullet,0:07:03,14
Galaxy Diagnostics,0:06:51,4
Accessibility,0:06:33,16
Layout,0:06:30,11
Yahoo Mail,0:06:16,17
TV Cast (LG),0:05:22,14
Smart View,0:04:47,15
Sudoku,0:04:38,1
VpnDialogs,0:04:34,71
Prime Video,0:04:23,4
Spotify,0:04:08,6
Sun NXT,0:04:02,8
Reminder,0:03:55,21
Adapt sound,0:03:45,9
Launcher,0:03:26,17
Samsung Cloud,0:03:26,4
Weather,0:03:26,14
SIM card manager,0:03:12,15
Phone,0:03:10,9
TED,0:03:08,4
BOMBitUP,0:03:02,3
Game Launcher,0:02:55,2
Game Booster,0:02:49,5
Settings Suggestions,0:02:48,28
MTP application,0:02:48,51
Wallpapers,0:02:34,24
Finder,0:02:31,23
Samsung Keyboard,0:02:30,7
Photo Editor,0:02:20,11
SoundAlive,0:02:12,15
B612,0:02:03,6
MyJio,0:01:34,4
Deepstash,0:01:32,1
SimpleMind Free,0:01:29,1
Turbo VPN,0:01:24,5
Google Spotlight Stories,0:01:24,2
Media Storage,0:01:23,4
Samsung Experience Service,0:01:20,5
CaptivePortalLogin,0:01:09,5
Samsung capture,0:01:06,34
ColorNote,0:00:58,5
Configuration update,0:00:56,4
Samsung Level,0:00:55,5
Samsung Internet,0:00:52,7
Camera Test,0:00:47,2
edX,0:00:47,3
Sound picker,0:00:44,2
Coursera,0:00:40,2
AppCloud,0:00:40,1
HwModuleTest,0:00:37,2
Clock style,0:00:37,3
Lens,0:00:35,17
Orbot,0:00:32,2
Phone,0:00:29,7
DeviceKeystring,0:00:25,1
Dual Messenger,0:00:13,1
Print Spooler,0:00:13,3
My Airtel,0:00:10,1
Trello,0:00:09,1
EmergencyManagerService,0:00:08,1
Wi-Fi Direct,0:00:07,3
My Galaxy,0:00:07,1
Configuration message,0:00:07,1
Ultra data saving mode,0:00:06,1
Customisation Service,0:00:06,1
Wi-Fi calling,0:00:06,1
Google Play Games,0:00:06,2
Storage booster,0:00:06,1
Mobile networks,0:00:04,1
Lock Screen Stories,0:00:03,1
WhatsApp Business,0:00:03,1
Google Podcasts,0:00:01,2
Voice Recorder,0:00:01,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
